10011,674,526
10012,676,546
10013,880,610
10014,916,698
10015,1250,1024
10021,520,484
10022,520,484
10023,594,586
10024,916,794
10030,300,240
10031,552,484
10040,760,532
10041,788,588
10042,820,642
10050,606,464
10051,730,572
10052,645,688
10061,460,466
10062,442,578
10063,530,630
10071,548,542
10072,638,554
10073,899,689
10081,466,436
10082,598,552
10083,695,654
10092,724,624
10093,808,792
10094,934,788
10102,344,614
10103,454,614
10104,898,1006
10112,856,860
10113,822,832
10114,750,1016
10115,1172,1198
10122,614,560
10123,612,646
10124,1020,806
10125,1344,880
10130,422,462
10131,530,450
10132,432,480
10133,818,656
10141,806,640
10142,806,640
10143,806,640
10144,1012,680
10152,825,670
10153,825,670
10154,825,670
10155,1248,1044
10162,1031,576
10163,1031,576
10164,1031,576
10165,1024,801
10171,639,550
10172,626,570
10181,428,542
10182,428,542
10191,554,406
10202,350,650
10203,368,654
10204,472,758
10212,825,760
10213,825,760
10214,825,760
10215,1170,1181
10222,564,560
10223,564,560
10233,1060,558
10234,1060,558
10243,635,701
10244,726,770
10253,1204,679
10254,1204,679
10255,1200,891
10273,979,787
10274,1120,920
10275,1033,807
10283,823,624
10284,1125,810
10285,1382,986
10302,586,546
10312,377,478
10323,382,543
10324,492,708
10333,1270,887
10334,1270,887
10335,1270,887
10344,875,1020
10354,832,706
10363,1159,1133
10364,1159,1133
10365,1159,1133
10373,832,652
10374,1103,777
10375,1166,925
10443,724,648
10444,817,749
10445,1110,940
10452,553,700
20011,614,506
20012,676,534
20013,730,608
20014,782,612
20015,924,762
20021,766,526
20022,766,526
20023,858,546
20024,1114,732
20030,300,240
20031,666,484
20040,576,676
20041,586,698
20042,586,698
20050,684,542
20051,772,542
20052,880,601
20061,462,632
20062,500,700
20063,532,714
20071,638,592
20072,904,620
20073,1117,881
20081,738,644
20082,564,610
20083,678,654
20092,666,482
20093,918,680
20094,930,862
20102,488,528
20103,488,534
20104,1088,666
20112,660,636
20113,800,680
20114,830,720
20115,1054,944
20122,656,586
20123,668,612
20124,850,740
20125,1346,1210
20130,422,462
20131,530,450
20132,432,480
20133,818,656
20141,759,680
20142,759,680
20143,759,680
20144,1326,775
20152,778,700
20153,778,700
20154,778,700
20155,940,914
20162,735,601
20163,735,601
20164,735,601
20165,1021,876
20171,535,538
20172,740,702
20181,580,574
20182,580,574
20191,554,406
20202,350,650
20203,368,654
20204,472,758
20212,908,656
20213,908,656
20214,908,656
20215,1161,856
20222,720,506
20223,720,506
20233,1090,566
20234,1464,1060
20243,1220,540
20244,1207,658
20253,793,762
20254,793,762
20255,1200,1007
20273,698,728
20274,973,792
20275,1102,880
20283,860,645
20284,1054,671
20285,1056,757
20302,377,478
20313,766,595
20314,929,733
20323,724,605
20324,885,756
20325,1200,928
20334,875,1020
20344,832,706
20353,1261,870
20354,1261,870
20355,1298,1078
20363,784,612
20364,910,652
20365,982,780
20433,990,760
20434,990,760
20435,990,760
20442,553,700
30011,664,522
30012,682,522
30013,760,568
30014,914,756
30015,1069,806
30021,620,572
30022,656,600
30023,656,694
30024,1066,782
30030,300,240
30031,562,434
30040,474,670
30041,534,696
30042,568,693
30050,474,472
30051,672,684
30052,658,602
30061,530,576
30062,620,590
30063,820,654
30071,658,570
30072,718,634
30073,954,864
30081,500,556
30082,720,598
30083,877,738
30092,486,622
30093,520,622
30094,592,590
30102,470,482
30103,470,584
30104,879,578
30112,686,694
30113,996,700
30114,1020,876
30115,1024,983
30122,650,516
30123,622,564
30124,938,740
30125,1212,1040
30130,422,462
30131,530,450
30132,432,480
30133,818,656
30141,344,602
30142,386,602
30143,536,640
30144,640,691
30152,725,700
30153,725,700
30154,725,700
30155,782,728
30162,745,638
30163,745,638
30164,745,638
30165,730,788
30171,602,652
30172,602,652
30181,326,520
30182,422,602
30191,554,406
30202,350,650
30203,368,654
30204,472,758
30212,1006,840
30213,1006,840
30214,1006,840
30215,1024,802
30222,907,618
30223,907,618
30233,834,772
