0,0,640,960,0,baseImg,
0,520,300,120,0,banner_area,
236,330,169,40,0,page_mark,
0,348,400,600,0,navi_char,
275,182,620,216,0,navi_window,
315,202,290,154,0,navi_comment,
490,119,140,62,0,btn_menu,
345,119,140,62,0,btn_reward,
200,119,140,62,0,btn_ranking,
13,829,204,84,0,btn_edit_party,
300,370,320,160,0,btn_quick_match,
300,485,320,160,0,btn_appointment,
315,620,320,160,0,btn_guild,
13,730,204,84,0,btn_config,
430,820,126,71,0,info_btn,
530,820,173,71,0,talk_btn,
240,820,204,84,0,entry_info_btn,
13,730,204,84,0,btn_guild_search,
