0,0,640,960,0,baseImg,
0,95,256,48,0,userInfo4,
0,63,256,48,0,userInfo3,
0,31,256,48,0,userInfo2,
0,0,256,48,0,userInfo1,
488,0,152,40,0,questTime,
628,46,0,0,0,guildBoost,
159,263,84,80,15,text,
0,30,0,0,0,offsety,
128,250,40,40,0,icon,
100,180,200,580,0,main_window,
140,100,350,430,0,buff_window,
170,120,0,0,0,buff_icon,
210,120,250,30,15,buff_desc,
115,200,175,30,18,title,
105,240,180,10,18,separate_bar1,
125,260,40,40,10,icon2,
5,90,0,0,0,score_bg,
65,120,0,0,20,score_team_label,
245,120,0,0,20,score_rival_label,
380,90,0,0,0,outpost_icon_bg,
400,90,0,0,0,outpost_icon_a,
437,90,0,0,0,outpost_icon_b,
474,90,0,0,0,outpost_icon_c,
511,90,0,0,0,outpost_icon_d,
548,90,0,0,0,outpost_icon_e,
590,87,0,0,0,outpost_icon_show_timer,
380,145,0,0,0,boss_timer_bg,
380,193,0,0,0,outpost_timer_bg,
540,165,0,0,20,boss_timer_label,
540,215,0,0,20,outpost_timer_label,
0,760,0,0,0,chat_bg,
70,788,1000,30,28,chat_label,
5,155,0,0,0,quest_bg,
72,182,0,0,18,quest_name,
273,182,0,0,18,quest_status,
