0,236,640,94,0,bb_frame,
0,84,640,152,0,weapon_frame,
136,152,490,76,0,touch_rect,
140,104,275,28,20,weapon_name,
20,92,90,90,0,weapon_thum,
512,78,128,64,0,btn_change_info,
468,160,157,28,20,rest_exp,
140,160,68,28,20,weapon_level,
777,154,214,26,24,weapon_hp,
777,196,207,26,24,weapon_atk,
1043,154,227,26,24,weapon_def,
1043,196,280,26,24,weapon_hel,
1500,160,400,60,18,passive_desc,
249,161,213,26,0,exp_bar,
140,193,77,33,24,next_skill_cap,
249,195,376,33,20,next_skill,
208,241,417,38,28,skill_name,
16,288,489,34,24,skill_desc,
21,184,91,51,0,btn_detail,
1416,156,79,68,0,passive_desc_cap,
