0,160,640,677,0,mask,
24,264,592,351,0,player_area,
0,796,640,50,0,footer_ticker,
81,291,283,37,28,p_name,
203,445,351,37,28,title_name,
205,347,215,33,24,character_name,
478,347,38,33,24,lv,
519,347,63,33,24,lv_value,
205,379,55,33,24,hp,
273,379,106,33,24,hp_value,
205,411,55,33,24,attack,
273,411,106,33,24,attack_value,
399,379,55,33,24,defense,
469,379,106,33,24,defense_value,
399,411,55,33,24,recovery,
469,411,106,33,24,recovery_value,
224,666,200,80,28,edit_btn,
48,484,544,102,0,comment_area,
73,500,480,37,28,comment,
97,458,52,35,0,comment_triangle,
76,364,98,98,18,character,
86,666,200,80,0,btn1,
358,666,200,80,0,btn2,
384,292,174,37,28,friend_id,
433,179,188,64,0,tolk_btn,
522,136,114,32,28,blacklist_num,
535,100,87,41,0,plate_blacklist,
420,165,188,64,0,records_btn,
425,176,0,0,0,guild_btn,
